path,condition,folder,year,n_czi_files,acquired_by,cell_type,sex
../data/raw_data/aged/20230208exp_20230323_agRGPPLA2,aged,20230208exp_20230323_agRGPPLA2,2023,6,Microscopist 1,HSC,unknown
../data/raw_data/aged/20191128PlaminAged,aged,20191128PlaminAged,2019,6,Microscopist 1,HSC,unknown
../data/raw_data/aged/20220420_20220419exp_AgRhoAGTPCy3H4K16ac,aged,20220420_20220419exp_AgRhoAGTPCy3H4K16ac,2022,7,Microscopist 1,HSC,unknown
../data/raw_data/aged/20220427_20220419exp_AgRhoAGTPCy3,aged,20220427_20220419exp_AgRhoAGTPCy3,2022,6,Microscopist 1,HSC,unknown
../data/raw_data/aged/20220502_20220419exp_AgRhoAGTPCy3H4K16ac,aged,20220502_20220419exp_AgRhoAGTPCy3H4K16ac,2022,10,Microscopist 1,HSC,unknown
../data/raw_data/aged/20230413exp_20230426AgKlf4Cy3H3K9me2AF488,aged,20230413exp_20230426AgKlf4Cy3H3K9me2AF488,2023,8,Microscopist 1,HSC,unknown
../data/raw_data/aged/20230413exp_20230426AgLINE1Cy3,aged,20230413exp_20230426AgLINE1Cy3,2023,7,Microscopist 1,HSC,unknown
../data/raw_data/aged/20230413exp_20230427AgLINE1Cy3,aged,20230413exp_20230427AgLINE1Cy3,2023,14,Microscopist 1,HSC,unknown
../data/raw_data/aged/20230413exp_20230505AgLINE1Cy3,aged,20230413exp_20230505AgLINE1Cy3,2023,6,Microscopist 1,HSC,unknown
../data/raw_data/aged/20201119expAgH3K9me2AF488,aged,20201119expAgH3K9me2AF488,2020,12,Microscopist 1,HSC,unknown
../data/raw_data/aged/20201218expAg1 H3K9me2AF488_2,aged,20201218expAg1 H3K9me2AF488_2,2020,8,Microscopist 1,HSC,unknown
../data/raw_data/aged/202012218expAg2H3K9me2_2,aged,202012218expAg2H3K9me2_2,2020,8,Microscopist 1,HSC,unknown
../data/raw_data/aged/20240118exp_20240124_Ag1H3K9me2488PLA2cy3,aged,20240118exp_20240124_Ag1H3K9me2488PLA2cy3,2024,12,Microscopist 1,HSC,unknown
../data/raw_data/aged/20240118exp_20240126_Ag2ctrlH3K9me2488PLA2cy3,aged,20240118exp_20240126_Ag2ctrlH3K9me2488PLA2cy3,2024,13,Microscopist 1,HSC,unknown
../data/raw_data/aged/20240402exp_20240404Ag1ctrlH3K9me2488PPLA2,aged,20240402exp_20240404Ag1ctrlH3K9me2488PPLA2,2024,10,Microscopist 1,HSC,unknown
../data/raw_data/aged/20240402exp_20240407Ag2ctrlH3K9me2488PPLA2,aged,20240402exp_20240407Ag2ctrlH3K9me2488PPLA2,2024,8,Microscopist 1,HSC,unknown
../data/raw_data/aged/03FABL6Untreated,aged,03FABL6Untreated,2024,52,Microscopist 2,HSC,F
../data/raw_data/aged/20240402exp_20240411_Ag1ctrlG9aCy3,aged,20240402exp_20240411_Ag1ctrlG9aCy3,2024,4,Microscopist 1,HSC,unknown
../data/raw_data/aged/20240402exp_20240417_Ag2ctrlG9aCy3,aged,20240402exp_20240417_Ag2ctrlG9aCy3,2024,11,Microscopist 1,HSC,unknown
../data/raw_data/aged/20240402exp_20240423_Ag1ctrlG9aCy3,aged,20240402exp_20240423_Ag1ctrlG9aCy3,2024,5,Microscopist 1,HSC,unknown
../data/raw_data/aged/20240618exp_20240625_AgctrlRhoAGTP647Klf4488,aged,20240618exp_20240625_AgctrlRhoAGTP647Klf4488,2024,5,Microscopist 1,HSC,unknown
../data/raw_data/aged/20240618exp_20240708_AgctrlGTP647Klf4488,aged,20240618exp_20240708_AgctrlGTP647Klf4488,2024,10,Microscopist 1,HSC,unknown
../data/raw_data/aged/20241016exp_20241023_AgDAPI,aged,20241016exp_20241023_AgDAPI,2024,13,Microscopist 1,HSC,unknown
../data/raw_data/aged/20241030exp_20241105_AgLaminB488,aged,20241030exp_20241105_AgLaminB488,2024,17,Microscopist 1,HSC,unknown
../data/raw_data/aged/20241106_exp20241217Ag1DAPIonly,aged,20241106_exp20241217Ag1DAPIonly,2024,10,Microscopist 3,HSC,unknown
../data/raw_data/aged/20241106_exp20241217Ag2DAPIonly,aged,20241106_exp20241217Ag2DAPIonly,2024,8,Microscopist 3,HSC,unknown
../data/raw_data/aged/20241127evitaliAged1only,aged,20241127evitaliAged1only,2024,28,Microscopist 3,HSC,unknown
../data/raw_data/aged/20241218_Agedforpablo,aged,20241218_Agedforpablo,2024,41,Microscopist 3,HSC,unknown
../data/raw_data/aged/2024A_05122024,aged,2024A_05122024,2024,10,Microscopist 3,HSC,unknown
../data/raw_data/aged/2024A_12122024,aged,2024A_12122024,2024,2,Microscopist 3,HSC,unknown
../data/raw_data/aged/2024A_16122024,aged,2024A_16122024,2024,25,Microscopist 3,HSC,unknown
../data/raw_data/aged_CASIN/01FABl6CASIN,aged_CASIN,01FABl6CASIN,2024,51,Microscopist 2,HSC,F
../data/raw_data/aged_CASIN/02FABl6CASIN,aged_CASIN,02FABl6CASIN,2024,25,Microscopist 2,HSC,F
../data/raw_data/aged_CASIN/03FABL6CASIN,aged_CASIN,03FABL6CASIN,2024,48,Microscopist 2,HSC,F
../data/raw_data/aged_DMSO/01FABl6DMSO,aged_DMSO,01FABl6DMSO,2024,46,Microscopist 2,HSC,F
../data/raw_data/aged_DMSO/02FABl6DMSO,aged_DMSO,02FABl6DMSO,2024,30,Microscopist 2,HSC,F
../data/raw_data/aged_DMSO/03FABL6DMSO,aged_DMSO,03FABL6DMSO,2024,50,Microscopist 2,HSC,F
../data/raw_data/aged_IOX/02FABl6IOX,aged_IOX,02FABl6IOX,2024,48,Microscopist 2,HSC,F
../data/raw_data/aged_UNC/02FABl6UNC,aged_UNC,02FABl6UNC,2024,51,Microscopist 2,HSC,F
../data/raw_data/aged_treated_RhoAi/20201026expAged1+RhoAi100uM,aged_treated_RhoAi,20201026expAged1+RhoAi100uM,2020,11,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20201026expAged2TreatedRhoAiSlide8TazCy3,aged_treated_RhoAi,20201026expAged2TreatedRhoAiSlide8TazCy3,2020,10,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20201026expRhoAAF488Aged2treatedSlide10,aged_treated_RhoAi,20201026expRhoAAF488Aged2treatedSlide10,2020,14,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20201119expAgedTreatedTAZaf488,aged_treated_RhoAi,20201119expAgedTreatedTAZaf488,2020,12,Microscopist 1,HSC,unknown
../data/raw_data/aged_treated_RhoAi/20201119expRhoAAF488AgedTreatedRhoAiRFPcellsSlide11,aged_treated_RhoAi,20201119expRhoAAF488AgedTreatedRhoAiRFPcellsSlide11,2020,11,Microscopist 1,HSC,unknown
